Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
518;Miscelâneas;Shoyu;70,6;60;254;3,3;0,3;NA;11,6;NA;14,1;14;23;0,07;47;0,5;5024;165;Tr;0,2;NA;;;0,83;0,06;0,15;2,1;Tr
519;Miscelâneas;Tempero a base de sal;7,7;21;89;2,7;0,3;NA;2,1;0,6;87,3;;;;;;32560;;;;NA;;;;;;;
520;Outros alimentos industrializados;Azeitona, preta, conserva;68,5;194;812;1,2;20,3;NA;5,5;4,6;4,5;58;4;0,06;16;5,5;1566;78;0,25;0,3;NA;;;Tr;Tr;0,04;Tr;Tr
521;Outros alimentos industrializados;Azeitona, verde, conserva;76,3;136;572;0,9;14,2;NA;4,1;3,8;4,5;45;3;0,03;5;0,2;1347;19;0,14;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
522;Outros alimentos industrializados;Chantilly, spray, com gordura vegetal;55,1;314;1317;0,5;27,3;Tr;16,9;NA;0,2;2;0;Tr;15;Tr;109;5;0,01;0,1;Tr; ; ;0,07;Tr;Tr;Tr;
523;Outros alimentos industrializados;Leite, de coco;78;166;695;1;18,4;NA;2,2;0,7;0,4;5;16;0,24;25;0,5;44;143;0,16;0,3;NA;;;Tr;Tr;Tr;Tr;Tr
524;Outros alimentos industrializados;Maionese, tradicional com ovos;58,4;302;1264;0,6;30,5;42;7,9;NA;2,6;3;0;Tr;14;0,1;786;16;Tr;0,1;8;;;Tr;0,05;Tr;Tr;Tr
525;Alimentos preparados;Acarajé;50,5;289;1210;8,3;19,9;25;19,1;9,4;2,1;124;51;0,59;141;1,9;304;353;0,23;1,2;Tr;;;0,06;Tr;Tr;Tr; 
526;Alimentos preparados;Arroz carreteiro;68;153;643;10,8;7,1;36;11,6;1,5;2,4;13;9;0,18;47;1;1621;87;0,08;2,7;Tr;;;0,03;Tr;0,07;1,6; 
527;Alimentos preparados;Baião de dois, arroz e feijão-de-corda;69,1;135;567;6,2;3,2;4;20,4;5,1;1,1;33;18;0,27;71;0,6;93;157;0,08;0,6;Tr;;;0,04;Tr;0,04;Tr;Tr
528;Alimentos preparados;Barreado;71,2;164;690;18,3;9,5;60;0,2;0,1;0,8;14;21;0,05;169;2,4;47;294;0,17;4,8;Tr;;;0,03;0,04;Tr;2,09;Tr
529;Alimentos preparados;Bife à cavalo, com contra filé;54,2;291;1218;23,7;21,1;256;0;NA;1,1;25;19;0,02;215;2,1;82;272;0,06;3,2;36;;;0,05;0,1;Tr;2,92;
530;Alimentos preparados;Bolinho de arroz;41,5;273;1144;8;8,3;70;41,7;2,7;0,5;23;13;0,42;87;2,1;58;96;0,13;0,9;Tr;;;0,08;0,05;Tr;Tr;Tr
531;Alimentos preparados;Camarão à baiana;82;100;421;7,9;6;116;3,2;0,4;0,9;42;14;0,11;244;1,4;84;139;0,07;0,5;Tr;;;Tr;Tr;Tr;0,31;4,1
532;Alimentos preparados;Charuto, de repolho;81,5;78;327;6,8;1,1;21;10,1;1,5;0,4;22;13;0,22;67;0,9;12;184;1,45;1,8;Tr;;;0,03;Tr;Tr;0,32;4,8
533;Alimentos preparados;Cuscuz, de milho, cozido com sal;71,1;113;474;2,2;0,7;NA;25,3;2,1;0,7;1;2;0,02;23;0,2;247;10;Tr;0,2;Tr;;;Tr;Tr;0,06;Tr;Tr
534;Alimentos preparados;Cuscuz, paulista;68,9;142;594;2,6;4,6;15;22,5;2,4;1,3;14;5;0,06;25;0,3;235;52;0,05;0,2;Tr;;;Tr;Tr;Tr;0,93;Tr
535;Alimentos preparados;Cuxá, molho;81;80;335;5,6;3,6;58;5,7;3;4;105;33;0,23;111;0,9;1344;124;0,17;0,6;Tr;32;16;0,04;Tr;0,03;1,1;10,3
536;Alimentos preparados;Dobradinha;75,3;124;520;19,8;4,4;144;0;NA;0,3;11;8;0,1;57;1;28;57;0,06;2,7;Tr;;;Tr;Tr;Tr;4,27; 
537;Alimentos preparados;Estrogonofe de carne;70,1;173;724;15;10,8;66;3;;1,1;28;21;0,03;185;2,7;122;322;0,14;2;27;;;0,06;0,05;Tr;3,25;Tr
538;Alimentos preparados;Estrogonofe de frango;70,9;156;656;17,6;8;79;2,6;;1;26;24;0,03;195;1,5;99;307;0,12;0,6;28;;;0,07;0,04;0,03;3,37;Tr
539;Alimentos preparados;Feijão tropeiro mineiro;61,7;151;634;10,2;6,8;67;19,6;3,6;1,8;41;36;0,38;199;2,2;365;348;0,22;1,4;8;;;Tr;Tr;Tr;1,44;Tr
540;Alimentos preparados;L;71,8;116;489;8,7;6,5;21;11,6;5,1;1,4;32;31;0,24;105;1,3;278;303;0,15;0,8;Tr; ; ;0,08;0,03;Tr;0,93;Tr
541;Alimentos preparados;Frango, com açafrão;79,5;112;471;9,7;6,2;50;4,1;0,2;0,5;12;16;0,09;166;0,8;28;256;0,02;0,5;8;;;0,03;Tr;Tr;1,64;5,3
542;Alimentos preparados;Macarrão, molho bolognesa;71,4;119;500;4,9;0,9;6;22,5;0,8;0,2;10;9;0,22;53;1,4;8;83;0,09;0,8;Tr;;;0,04;Tr;Tr;1,44;Tr
543;Alimentos preparados;Maniçoba;76,4;134;561;10;8,7;42;3,4;2,2;1,5;65;23;0,6;54;3,2;406;147;0,16;2;Tr;221;110;0,04;0,07;0,05;2,58;Tr
544;Alimentos preparados;Quibebe;81,1;86;361;8,6;2,7;NA;6,6;1,7;1;7;10;0,05;42;0,8;246;152;0,61;1,6;Tr;104;52;Tr;0,03;0,04;;Tr
545;Alimentos preparados;Salada, de legumes, com maionese;82;96;402;1,1;7;7;8,9;2,2;0,9;12;8;0,1;22;0,2;228;141;0,04;0,2;Tr;282;141;0,04;Tr;0,04;Tr;Tr
546;Alimentos preparados;Salada, de legumes, cozida no vapor;90;35;148;2;0,3;NA;7,1;2,5;0,6;32;18;0,24;44;0,4;2;244;0,17;0,3;NA;510;255;0,05;0,03;0,03;Tr;29,4
547;Alimentos preparados;Salpicão, de frango;72,5;147;618;13,9;7,8;52;4,6;0,4;1,1;9;13;0,03;102;0,3;248;148;0,08;0,4;Tr;14;7;0,05;Tr;Tr;1,48;9,3
548;Alimentos preparados;Sarapatel;75;122;514;18,5;4,4;315;1,1;;1,1;12;12;0,1;163;7,2;215;198;1,48;1,8;1463;;;Tr;0,11;Tr;3,84;Tr
549;Alimentos preparados;Tabule;85,8;57;240;2;1,2;NA;10,6;2,1;0,4;18;17;0,37;35;0,6;1;187;0,12;0,6;NA;;;0,03;Tr;Tr;0,6;16,2
550;Alimentos preparados;Tacacá;85,2;46;196;7;0,4;70;3,4;0,2;4,1;44;29;0,12;89;0,9;1349;240;0,22;0,8;Tr;35;17;0,05;Tr;Tr;;Tr
551;Alimentos preparados;Tapioca, com manteiga;24,9;347;1455;0,1;10,9;31;63,6;Tr;0,5;30;3;0,06;8;0,2;157;19;0,01;0;75;;;Tr;Tr;Tr;Tr;Tr
552;Alimentos preparados;Tucupi, com pimenta-de-cheiro;91,9;27;113;2,1;0,3;NA;4,7;0,2;1;28;42;0,52;30;1,1;5;390;0,12;0,9;NA;50;25;Tr;Tr;0,05;Tr;46,4
553;Alimentos preparados;Vaca atolada;75;144;606;5,1;9,3;18;10,1;2,3;0,5;62;15;0,04;71;0,7;25;219;0,12;1,2;Tr;;;Tr;Tr;Tr;0,77;Tr
554;Alimentos preparados;Vatapá;58,4;254;1066;6;23,2;44;9,7;1,7;2,7;46;39;0,48;108;1,4;879;209;0,28;0,9;Tr;;;Tr;Tr;Tr;1,8;Tr
555;Alimentos preparados;Virado à paulista;48,6;306;1284;10,2;25,6;65;14,1;2,2;1,5;40;21;0,15;135;1,1;345;237;0,07;1;10;;;0,14;0,05;Tr;2,6;Tr
556;Alimentos preparados;Yakisoba;69,4;112;471;7,5;2,6;NA;18,3;1,1;2,2;13;13;0,15;83;0,6;793;158;0,06;0,7;NA;62;31;0,16;Tr;Tr;2,09;Tr
557;Leguminosas e derivados;Amendoim, grão, cru;6,4;544;2276;27,2;43,9;NA;20,3;8;2,2;Tr;170;1,96;407;2,5;Tr;580;0,78;3,2;NA;;;0,1;0,03;0,76;10,18;Tr
558;Leguminosas e derivados;Amendoim, torrado, salgado;1,7;605;2534;22,5;54;NA;18,7;7,8;3,2;39;159;1,7;260;1,3;375;495;0,68;2,1;NA;;;0,08;Tr;0,21;7,47;Tr
559;Leguminosas e derivados;Ervilha, em vagem;76,8;88;366;7,5;0,5;NA;14,2;9,7;1;24;41;0,4;151;1,4;Tr;310;0,2;1,2;NA;;;0,27;0,07;0,06;1,16;12,4
560;Leguminosas e derivados;Ervilha, enlatada, drenada;80,1;73;308;4,6;0,4;NA;13,4;5,1;1,4;22;23;0,46;78;1,4;372;147;0,14;0,9;NA;9;4;0,07;0,03;Tr;Tr; 
561;Leguminosas e derivados;Feijão, carioca, cozido;80,4;76;319;4,8;0,5;NA;13,6;8,5;0,7;26;42;0,28;86;1,3;1;254;0,19;0,7;NA;;;0,04;Tr;Tr;Tr;Tr
562;Leguminosas e derivados;Feijão, carioca, cru;14;329;1376;20;1,3;NA;61,2;18,4;3,5;122;209;1,02;385;8;Tr;1352;0,79;2,9;NA;;;0,17;Tr;0,65;4,02; 
563;Leguminosas e derivados;Feijão, fradinho, cozido;80;78;326;5,1;0,6;NA;13,5;7,5;0,8;17;38;0,53;84;1,1;0;252;0,1;1,1;NA;;;0,12;Tr;Tr;Tr;Tr
564;Leguminosas e derivados;Feijão, fradinho, cru;12,7;339;1419;20,2;2,4;NA;61,2;23,6;3,5;77;178;1,43;354;5,1;10;1082;0,7;3,9;NA;;;0,14;0,03;0,26;Tr;Tr
565;Leguminosas e derivados;Feijão, jalo, cozido;75,8;92;388;6,1;0,5;NA;16,5;13,9;1;29;44;0,32;121;1,9;0;347;0,24;1;NA;;;0,13;Tr;0,04;Tr;Tr
566;Leguminosas e derivados;Feijão, jalo, cru;13,5;327;1371;20,1;0,9;NA;61,5;30,3;3,9;97;169;0,99;427;7;24;1275;0,95;3;NA;;;0,1;Tr;0,12;Tr;Tr
567;Leguminosas e derivados;Feijão, preto, cozido;80,2;77;322;4,5;0,5;NA;14;8,4;0,8;29;40;0,37;88;1,5;1;256;0,2;0,7;NA;;;0,06;Tr;0,03;Tr;Tr
568;Leguminosas e derivados;Feijão, preto, cru;14,9;323;1353;21,3;1,2;NA;58,8;21,8;3,8;110;188;1,32;471;6,5;Tr;1415;0,83;2,9;NA;;;0,12;Tr;0,59;4,6; 
569;Leguminosas e derivados;Feijão, rajado, cozido;77,9;84;354;5,5;0,4;NA;15,3;9,3;0,9;29;41;0,29;112;1,4;0;314;0,23;0,9;NA;;;0,09;Tr;0,04;Tr;Tr
570;Leguminosas e derivados;Feijão, rajado, cru;15;325;1363;17,3;1,2;NA;62,9;24;3,7;111;169;1,17;334;18,6;13;1134;0,84;2,6;NA;;;0,07;0,03;0,07;Tr;Tr
571;Leguminosas e derivados;Feijão, rosinha, cozido;82,6;67;283;4,5;0,5;NA;11,8;4,8;0,6;19;42;0,46;89;1,2;2;240;0,09;1,3;NA;;;Tr;Tr;Tr;3,69;Tr
572;Leguminosas e derivados;Feijão, rosinha, cru;12;336;1409;20,9;1,3;NA;62,2;20,6;3,6;67;184;1,08;393;5,3;24;1108;0,6;4;NA;;;0,16;0,03;Tr;3,92;Tr
573;Leguminosas e derivados;Feijão, roxo, cozido;80;76;321;5,7;0,5;NA;12,9;11,5;0,8;22;34;0,32;106;1,4;1;268;0,22;1;NA;;;0,15;Tr;0,03;Tr;Tr
574;Leguminosas e derivados;Feijão, roxo, cru;12,6;331;1386;22,2;1,2;NA;60;33,8;4;120;161;1,34;393;6,9;9;1221;1,04;3,3;NA;;;0,26;Tr;0,08;Tr;Tr
575;Leguminosas e derivados;Grão-de-bico, cru;12,3;354;1484;21,2;5,4;NA;57,9;12,4;3,2;114;146;3,16;342;5,4;5;1115;0,67;3,2;NA;;;0,52;Tr;0,75;Tr;Tr
576;Leguminosas e derivados;Guandu, cru;11,4;344;1439;19;2,1;NA;64;21,3;3,5;129;166;1,02;269;1,9;1;1214;0,57;2;NA;;;1,06;Tr;0,07;2,69;1,5
577;Leguminosas e derivados;Lentilha, cozida;76,3;92;387;6,3;0,5;NA;16,3;7,9;0,6;16;21;0,29;103;1,5;1;219;0,17;1,1;NA;;;0,03;Tr;Tr;Tr;Tr
578;Leguminosas e derivados;Lentilha, crua;11,5;339;1418;23,2;0,8;NA;62;16,9;2,6;53;93;1,08;367;7;Tr;886;0,83;3,5;NA; ; ;0,11;Tr;0,42;5,07; 
579;Leguminosas e derivados;Paçoca, amendoim;1,8;486;2037;16;26,1;NA;52,4;7,3;3,8;22;100;1,05;198;1,1;166;347;0,38;1,6;NA;;;Tr;Tr;1,2;Tr;Tr
580;Leguminosas e derivados;Pé-de-moleque, amendoim;2,9;503;2105;13,2;28;NA;54,7;3,4;1,1;27;107;1,09;170;1,3;16;355;0,43;1,4;NA;;;0,04;0,03;0,11;5,94;Tr
581;Leguminosas e derivados;Soja, farinha;5,8;403;1690;36;14,6;NA;38,4;20,2;5,1;206;241;2,87;539;13,1;5;1922;1,29;4,5;NA;;;0,2;0,04;0,03;Tr;Tr
582;Leguminosas e derivados;Soja, extrato solúvel, natural, fluido;91,3;39;163;2,4;1,6;NA;4,3;0,4;0,5;16;15;0,15;52;0,4;56;121;0,08;0,3;NA;;;Tr;Tr;Tr;Tr;Tr
583;Leguminosas e derivados;Soja, extrato solúvel, pó;4,5;458;1920;35,7;26,2;NA;28,5;7,3;5,2;359;215;2,68;646;7;83;1606;1,19;5,8;NA;;;Tr;0,11;0,35;Tr;9,2
584;Leguminosas e derivados;Soja, queijo (tofu);86,6;64;269;6,6;4;NA;2,1;0,8;0,7;80;38;0,33;129;1,4;1;181;0,18;0,9;NA;;;0,04;Tr;0,03;Tr;Tr
585;Leguminosas e derivados;Tremoço, cru;9,7;381;1595;33,6;10,3;NA;43,8;32,3;2,6;176;121;*;264;2,8;3;708;0,79;4,2;NA;;;0,24;Tr;0,07;Tr;25
586;Leguminosas e derivados;Tremoço, em conserva;67,7;120;504;11,1;3,8;NA;12,4;14,4;5;15;3;*;39;0,3;1808;5;0,27;0,6;NA;;;Tr;Tr;Tr;Tr;Tr
587;Nozes e sementes;Amêndoa, torrada, salgada;3,1;580;2429;18,6;47,3;NA;29,5;11,6;1,5;236;222;1,95;493;3,1;278;639;0,93;2,6;NA;;;0,29;0,16;Tr;Tr;Tr
588;Nozes e sementes;Castanha-de-caju, torrada, salgada;3,5;570;2385;18,5;46,3;NA;29,1;3,7;2,6;32;236;1,59;594;5,2;125;671;1,92;4,7;NA;;;0,29;0,05;0,39;Tr;Tr
589;Nozes e sementes;Castanha-do-Brasil, crua;3,5;642;2690;14,5;63,5;NA;15,1;7,9;3,4;146;365;1,1;853;2,3;0;650;1,79;4,2;NA;;;0,3;Tr;0,44;Tr;Tr
590;Nozes e sementes;Coco, cru;43;406;1700;3,7;42;NA;10,4;5,4;1;6;51;1;117;1,8;15;354;0,45;0,9;NA;;;Tr;Tr;0,03;Tr;2,5
591;Nozes e sementes;Coco,  verde, cru;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;NA;;;*;*;*;*;*
592;Nozes e sementes;Farinha, de mesocarpo de babaçu, crua;15,8;328;1375;1,4;0,2;NA;79,2;17,9;3,4;60;39;0,38;25;18,3;12;362;0,22;0,3;NA;;;Tr;Tr;Tr;2,58;Tr
593;Nozes e sementes;Gergelim, semente;3,9;583;2441;21,2;50,4;NA;21,6;11,9;2,9;825;360;2,67;740;5,4;2;546;1,51;5,2;NA;;;0,94;Tr;0,13;5,92;Tr
594;Nozes e sementes;Linhaça, semente;6,7;495;2071;14,1;32,3;NA;43,3;33,5;3,7;211;346;2,81;615;4,7;8;869;1,09;4,4;NA;;;0,12;Tr;0,13;Tr;Tr
595;Nozes e sementes;Pinhão, cozido;50,5;174;729;3;0,7;NA;43,9;15,6;1,8;15;52;0,41;165;0,8;0;727;0,18;0,8;NA;;;Tr;Tr;Tr;Tr;27,7
596;Nozes e sementes;Pupunha, cozida;54,5;218;914;2,5;12,8;NA;29,6;4,3;0,7;27;25;0,13;48;0,5;0;303;0,28;0,3;NA;875;437;Tr;0,09;0,03;Tr;2,2
597;Nozes e sementes;Noz, crua;6,2;620;2594;14;59,4;NA;18,4;7,2;2,1;105;152;4,05;396;2;4;533;0,75;2,1;NA;;;0,38;Tr;0,13;1,08;Tr
