Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
66;Verduras;Abóbora, menina brasileira, crua;95,7;13;56;0,6;Tr;NA;3,3;1,2;0,4;8;4;0,01;11;0,1;Tr;164;0,02;Tr;NA;1108;554;0,07;Tr;0,04;Tr;1,5
67;Verduras;Abóbora, moranga, crua;95,9;12;51;1;0,1;NA;2,7;1,7;0,4;3;1;0,01;7;Tr;Tr;124;0,05;0,1;NA;278;139;Tr;Tr;0,06;Tr;9,6
68;Verduras;Abóbora, moranga, refogada;92,5;29;121;0,4;0,8;NA;6;1,5;0,4;19;7;0,02;11;0,1;3;183;0,04;0,1;NA;95;47;0,05;Tr;0,05;Tr;6,7
69;Verduras;Abóbora, pescoço, crua;92,5;24;102;0,7;0,1;NA;6,1;2,3;0,6;8;7;0,07;31;0,3;0;263;0,09;0,2;NA;;;Tr;Tr;0,06;Tr;2,1
70;Verduras;Abobrinha, italiana, cozida;95,3;15;62;1,1;0,2;NA;3;1,6;0,4;16;16;0,11;22;0,2;0;125;0,01;0,3;NA;;;0,05;Tr;0,06;Tr;2,1
71;Verduras;Abobrinha, italiana, crua;93,9;19;80;1,1;0,1;NA;4,3;1,4;0,6;15;19;0,09;32;0,2;Tr;253;0,05;0,2;NA;40;20;Tr;0,06;0,03;Tr;6,9
72;Verduras;Abobrinha, italiana, refogada;93,5;24;102;1,1;0,8;NA;4,2;1,4;0,4;20;12;0,14;31;0,4;2;193;0,02;0,3;NA;41;20;0,04;Tr;Tr;Tr;7,5
73;Verduras;Abobrinha, paulista, crua;90,9;30;128;0,6;0,1;NA;7,9;2,6;0,5;18;9;0,11;32;0,2;0;212;0,1;0,2;NA;;;Tr;Tr;0,03;Tr;17,5
74;Verduras;Acelga, crua;93,2;20;87;1,4;0,1;NA;4,6;1,1;0,6;42;10;0,11;40;0,3;1;239;0,1;0,3;NA;;;0,04;Tr;0,16;Tr;22,6
75;Verduras;Agrião, cru;93,9;16;69;2,7;0,2;NA;2,3;2,1;0,9;132;18;0,28;50;3,1;7;217;0,1;0,7;NA;458;229;0,11;0,23;0,09;1,19;60,1
76;Verduras;Aipo, cru;93,8;19;79;0,8;0,1;NA;4,3;1;1,1;65;8;0,18;28;0,7;9;273;0,31;0,1;NA;916;458;Tr;Tr;0,18;Tr;5,9
77;Verduras;Alface, americana, crua;97,2;8;36;0,6;0,1;NA;1,7;1;0,3;14;5;0,12;19;0,3;7;136;0,02;0,2;NA;;;0,03;Tr;0,04;Tr;11
78;Verduras;Alface, crespa, crua;96,1;10;44;1,3;0,2;NA;1,7;1,8;0,7;37;10;0,2;25;0,4;3;267;0,03;0,3;NA;234;117;0,11;0,12;Tr;1,09;15,6
79;Verduras;Alface, lisa, crua;95;13;57;1,7;0,1;NA;2,4;2,3;0,8;27;9;0,33;26;0,6;4;348;0,03;0,3;NA;368;184;0,09;0,08;0,07;0,75;21,4
80;Verduras;Alface, roxa, crua;95,7;12;53;0,9;0,2;NA;2,5;2;0,7;33;9;0,12;51;2,5;7;308;0,04;0,2;NA;312;156;Tr;Tr;Tr;Tr;13,5
81;Verduras;Alfavaca, crua;90,2;29;122;2,7;0,5;NA;5,2;4,1;1,4;258;84;0,15;49;1,3;4;260;0,15;0,7;NA;;;Tr;0,12;0,56;Tr;Tr
82;Verduras;Alho, cru;67,5;113;473;7;0,2;NA;23,9;4,3;1,3;13;21;0,24;149;0,8;5;534;0,15;0,8;NA;;;0,18;Tr;0,44;Tr;*
83;Verduras;Alho-poró, cru;91;31;131;1,4;0,1;NA;6,9;2,5;0,6;33;10;0,1;36;0,6;1;224;0,29;0,2;NA;16;8;0,06;Tr;0,08;0,34;14,1
84;Verduras;Almeirão, cru;93,7;18;75;1,8;0,2;NA;3,3;2,6;1;19;21;0,17;39;0,7;2;369;0,1;0,3;NA;566;283;0,1;0,18;Tr;0,63;1,7
85;Verduras;Almeirão, refogado;86,5;65;272;1,7;4,8;NA;5,7;3,4;1,2;63;17;0,28;30;1,6;14;315;0,06;0,2;NA;;;0,03;0,06;0,05;4,03;1,5
86;Verduras;Batata, baroa, cozida;79,3;80;335;0,9;0,2;NA;18,9;1,8;0,8;11;7;0,22;29;0,4;2;258;0,15;0,4;NA;;;0,06;Tr;Tr;1,98;17,1
87;Verduras;Batata, baroa, crua;73,7;100;422;1;0,2;NA;24;2,1;1,1;17;11;0,07;45;0,3;Tr;505;0,05;0,2;NA;24;12;0,05;Tr;0,12;Tr;7,5
88;Verduras;Batata, doce, cozida;80,4;76;321;0,6;0,1;NA;18,4;2,2;0,4;17;11;0,14;15;0,2;2;148;0,06;0,1;NA;;;0,08;Tr;0,05;2,57;23,8
89;Verduras;Batata, doce, crua;69,5;118;494;1,3;0,1;NA;28,2;2,6;0,9;21;16;0,18;36;0,4;8;340;0,11;0,2;NA;;;0,06;Tr;0,1;Tr;16,5
90;Verduras;Batata, frita, tipo chips, industrializada;2,7;542;2270;5,6;36,6;NA;51,2;2,5;3,9;11;24;0,23;96;0,7;607;1014;0,12;0,6;NA;;;0,2;Tr;0,13;2,61;Tr
91;Verduras;Batata, inglesa, cozida;86,4;51;215;1,2;Tr;NA;11,9;1,3;0,5;3;5;0,07;24;0,2;2;161;0,06;0,2;NA;;;0,05;Tr;0,08;Tr;3,8
92;Verduras;Batata, inglesa, crua;82,9;64;269;1,8;Tr;NA;14,7;1,2;0,6;3;14;0,1;38;0,4;Tr;302;0,09;0,2;NA;;;0,1;Tr;0,15;Tr;31,1
93;Verduras;Batata, inglesa, frita;44,1;267;1117;5;13,1;NA;35,6;8,1;2,2;6;14;0,15;69;0,4;1;488;0,1;0,4;NA;;;0,17;Tr;0,1;2,51;16,3
94;Verduras;Batata, inglesa, sauté;83,1;67;284;1,3;0,9;NA;14,1;1,4;0,6;4;6;0,08;31;0,2;8;199;0,05;0,2;NA;;;0,07;Tr;0,09;1,38;Tr
95;Verduras;Berinjela, cozida;94,4;18;78;0,7;0,1;NA;4,5;2,5;0,3;10;8;0,11;15;0,2;1;105;0,04;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
